dataset,task,sample_id,problem_id,sample_index,fp16_score,kivi_score,patternkv_score,pattern_minus_kivi,pattern_minus_fp16,fp16_correct,kivi_correct,patternkv_correct,input_tokens,fp16_output_tokens,kivi_output_tokens,patternkv_output_tokens,fp16_stop_reason,kivi_stop_reason,patternkv_stop_reason,fp16_hit_max,kivi_hit_max,patternkv_hit_max,quantized_tokens,fp16_residual_tokens,dynamic_pattern_count_k,dynamic_pattern_count_v,assignment_bytes,mask_bytes,centroid_bytes,config_hash,git_commit,error
longbench,2wikimqa,2wikimqa:048e82b64b5651b74d452db7151c2110a718128dfd12a774,,6,0.0,0.0,0.0,0.0,0.0,,,,7468,3,6,3,eos,eos,eos,False,False,False,7343,128,0,0,30408704,1900544,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:0d02726cbaab0fbd2e84b7537550154e8aa96f81abb2864b,,27,0.0,0.0,0.0,0.0,0.0,,,,5900,2,2,2,eos,eos,eos,False,False,False,5774,128,0,0,24117248,1507328,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:0ef1c3ac6b07212a6d5a91bfab2c12f2823412f10f667616,,34,100.0,100.0,100.0,0.0,0.0,,,,6148,5,5,6,eos,eos,eos,False,False,False,6026,128,0,0,25165824,1572864,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:188123e1b35a7de33fc44a40b55ab9ff0b59d29dc30f9148,,44,100.0,100.0,100.0,0.0,0.0,,,,5946,5,5,6,eos,eos,eos,False,False,False,5824,128,0,0,24117248,1507328,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:236eb4a8c2ba63d96ed3b6aec9ff7b00fa5e4df1173dd01c,,20,0.0,0.0,0.0,0.0,0.0,,,,4044,3,4,4,eos,eos,eos,False,False,False,3920,128,0,0,16252928,1015808,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:2a398d925d3607c94ffb2d0cf9fe2fe6da6e9970ce95578a,,14,0.0,0.0,0.0,0.0,0.0,,,,6520,3,3,3,eos,eos,eos,False,False,False,6395,128,0,0,26214400,1638400,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:2c952e3e1ca394df975103b3135b3c38e0ee16e25d860258,,2,0.0,0.0,0.0,0.0,0.0,,,,6393,2,3,2,eos,eos,eos,False,False,False,6267,128,0,0,25690112,1605632,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:2d1951b62f317038d28f6ac6a2b21e9d2e7f921ea528948b,,42,18.18,8.7,20.0,11.3,1.8200000000000003,,,,8192,32,32,32,length,length,length,True,True,True,8087,128,1,1,33554432,2097152,4325376,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:314e76591d11d30d2bd59b2f12b671e873b786656f19956d,,46,0.0,0.0,0.0,0.0,0.0,,,,6118,5,4,4,eos,eos,eos,False,False,False,5994,128,0,0,24641536,1540096,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:3292d2bcbbf8fc4816d168bcb7f81c13341198da1e88b903,,48,100.0,100.0,100.0,0.0,0.0,,,,1832,6,5,6,eos,eos,eos,False,False,False,1710,128,0,0,7340032,458752,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
