benchmark,model_name,model_identity_hash,method,display_method,backend_method,method_config_hash,problem_id,base_seed,sample_id,effective_seed,task_key,dataset_sha256,prompt_hash,input_token_hash,generation_config_hash,parser_hash,reference_answer,parsed_answer,is_correct,parser_strategy,parser_error,generated_tokens,generated_token_hash,generated_text_sha256,stop_reason,eos_stop,length_stop,truncated,oom,runtime_error,source_result_path,source_result_sha256,experiment_id,config_hash,git_commit,physical_gpu_id,gpu_uuid,timestamp,k_bits,v_bits,group_size,sink_length,recent_length,residual_length,selector,v4_budget_fraction,observed_v4_fraction,cache_mode,prompt_protocol,formal_key
aime25,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,FP16,FP16,fp16,7cffe089a9825640,0,42,0,42,aime25:p0:s0,822a4c6ec6a41f65151cbc731d9d4ce2bb7bbd0f2f39bd7622be1b99d28e0d9d,0aa8edd27a3f078d857084cee9300ad8,4ef190c91f542a98419a563b7da52993,40fe960ae9f758e6,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,70,70,True,boxed,,2866,c275cc6a60471a0500e6fbc866c00f6b19c7171c2e007a128e2b51faea34bda6,bf285612259fa735948d760605cf455a2fd5db48e938da80f245142a124cc28e,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime25_full_causal25_quality_v100/formal/FP16/seed42/p00.json,5182dabb73c27564060266fc952126db71fb8164652e9ae827a6913c75ca1dcb,aime25_full_causal25_quality_v100_formal,fb8a77b673acfff3,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-20T07:41:08.615668+00:00,16,16,0,0,0,0,,,,,deepseek_r1_recommended,FP16:seed42:p00
aime25,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,FP16,FP16,fp16,7cffe089a9825640,0,43,0,43,aime25:p0:s0,822a4c6ec6a41f65151cbc731d9d4ce2bb7bbd0f2f39bd7622be1b99d28e0d9d,0aa8edd27a3f078d857084cee9300ad8,4ef190c91f542a98419a563b7da52993,40fe960ae9f758e6,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,70,70,True,boxed,,2773,ad8d34e0f2ddee664cb32797376d0beb6876064d463ae3404baf2857e20a2495,ab6e43ca6202d1932615888108f72c868147d9838827e27b070b96088f751548,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime25_full_causal25_quality_v100/formal/FP16/seed43/p00.json,5e9cd0eab5005dcb16527069c5dd7066b79a8f5e32d4ce2863d3a10547214eca,aime25_full_causal25_quality_v100_formal,fb8a77b673acfff3,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-20T07:42:48.198848+00:00,16,16,0,0,0,0,,,,,deepseek_r1_recommended,FP16:seed43:p00
aime25,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,FP16,FP16,fp16,7cffe089a9825640,0,44,0,44,aime25:p0:s0,822a4c6ec6a41f65151cbc731d9d4ce2bb7bbd0f2f39bd7622be1b99d28e0d9d,0aa8edd27a3f078d857084cee9300ad8,4ef190c91f542a98419a563b7da52993,40fe960ae9f758e6,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,70,915,False,boxed,,11207,d6cc90ffc26db6891bf1c7f52cf2095eb3b19b8a1960146018304efc39c544cc,0677a47b806029f9b133ce112d1cbab016cfe98f9549c02490de91d214a89b11,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime25_full_causal25_quality_v100/formal/FP16/seed44/p00.json,8a5f5b932e9081f426d57edb11b401e59d65f3bc65de3fa8bee0b9ec65f533a4,aime25_full_causal25_quality_v100_formal,fb8a77b673acfff3,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-20T07:52:50.265028+00:00,16,16,0,0,0,0,,,,,deepseek_r1_recommended,FP16:seed44:p00
aime25,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,FP16,FP16,fp16,7cffe089a9825640,1,42,0,1042,aime25:p1:s0,822a4c6ec6a41f65151cbc731d9d4ce2bb7bbd0f2f39bd7622be1b99d28e0d9d,f27ac657e1ec0e7ef0a539a7c9c620ae,629622baf8d2584830c6b9967ecada73,40fe960ae9f758e6,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,588,768,False,boxed,,10868,6d4ee9cb82221f0d9a8c2436aaebe15dc1749720e41572a690f65e260cbc2115,23a8e36de522ee93ca3ad0583d1ffd5ec3de235fbfc388856425ba5f4cfb0daf,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime25_full_causal25_quality_v100/formal/FP16/seed42/p01.json,7afb9ea6b51591f78197578d1d9ff3fd8270f68f2f0cc691eb0164a18128c16b,aime25_full_causal25_quality_v100_formal,fb8a77b673acfff3,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-20T08:02:31.410806+00:00,16,16,0,0,0,0,,,,,deepseek_r1_recommended,FP16:seed42:p01
aime25,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,FP16,FP16,fp16,7cffe089a9825640,1,43,0,1043,aime25:p1:s0,822a4c6ec6a41f65151cbc731d9d4ce2bb7bbd0f2f39bd7622be1b99d28e0d9d,f27ac657e1ec0e7ef0a539a7c9c620ae,629622baf8d2584830c6b9967ecada73,40fe960ae9f758e6,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,588,588,True,boxed,,7622,48c5ca06be7daf60ff452d867010c69efabbca6dda6906248c7ccd95b0d02633,570373fb173700ee61c36ca6bf3cda5060a8c7685c8c31264e45c21ddf6f39fe,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime25_full_causal25_quality_v100/formal/FP16/seed43/p01.json,153842ed17e0ef7dd7a0a61a47c68211c8a97f134afa2669e8ef92830acef5c6,aime25_full_causal25_quality_v100_formal,fb8a77b673acfff3,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-20T08:08:25.061349+00:00,16,16,0,0,0,0,,,,,deepseek_r1_recommended,FP16:seed43:p01
aime25,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,FP16,FP16,fp16,7cffe089a9825640,1,44,0,1044,aime25:p1:s0,822a4c6ec6a41f65151cbc731d9d4ce2bb7bbd0f2f39bd7622be1b99d28e0d9d,f27ac657e1ec0e7ef0a539a7c9c620ae,629622baf8d2584830c6b9967ecada73,40fe960ae9f758e6,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,588,548,False,boxed,,6323,b98c3ac35f65a1693e20175dc7ae94018596eb6794aea59248083cce607e66f4,04ad8d113cdfda309c06552748b27e9cc78e267b2d3aea9c047d6733584001bc,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime25_full_causal25_quality_v100/formal/FP16/seed44/p01.json,c41cd0891ce09c9c504c36d72ce28ecf748da4846fa40a525448a0536e3873f6,aime25_full_causal25_quality_v100_formal,fb8a77b673acfff3,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-20T08:13:01.496151+00:00,16,16,0,0,0,0,,,,,deepseek_r1_recommended,FP16:seed44:p01
aime25,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,FP16,FP16,fp16,7cffe089a9825640,2,42,0,2042,aime25:p2:s0,822a4c6ec6a41f65151cbc731d9d4ce2bb7bbd0f2f39bd7622be1b99d28e0d9d,b154e4cd8a12766975f679d58960ab8a,2866b5231d051e8f25d26a381ea73cb1,40fe960ae9f758e6,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,16,16,True,boxed,,5784,49140fa11e8f28f79c4faf6d9d027599356300a5f668adcc59a2b11371f60006,a1fd33bec80b429756584b1c92a5763be5fc5cd946cd70f38ff16728db67827a,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime25_full_causal25_quality_v100/formal/FP16/seed42/p02.json,3c4066f9b48dd5d44e7201ac06290302b05933e321cb8e9bae46bc59f56653ba,aime25_full_causal25_quality_v100_formal,fb8a77b673acfff3,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-20T08:17:09.551119+00:00,16,16,0,0,0,0,,,,,deepseek_r1_recommended,FP16:seed42:p02
aime25,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,FP16,FP16,fp16,7cffe089a9825640,2,43,0,2043,aime25:p2:s0,822a4c6ec6a41f65151cbc731d9d4ce2bb7bbd0f2f39bd7622be1b99d28e0d9d,b154e4cd8a12766975f679d58960ab8a,2866b5231d051e8f25d26a381ea73cb1,40fe960ae9f758e6,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,16,16,True,boxed,,3794,9c5ecc521eee06bb7e682fc1a7ba047bca12b3c6649401a044ded26690755324,24714dc7d5cad1828807b7af57579823df779e8a41bd90eeb4082e303b6084ad,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime25_full_causal25_quality_v100/formal/FP16/seed43/p02.json,0b40986155b55a6f4c49903e845b61f10d9437196ad97113a2a548384e361e7e,aime25_full_causal25_quality_v100_formal,fb8a77b673acfff3,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-20T08:19:38.500226+00:00,16,16,0,0,0,0,,,,,deepseek_r1_recommended,FP16:seed43:p02
aime25,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,FP16,FP16,fp16,7cffe089a9825640,2,44,0,2044,aime25:p2:s0,822a4c6ec6a41f65151cbc731d9d4ce2bb7bbd0f2f39bd7622be1b99d28e0d9d,b154e4cd8a12766975f679d58960ab8a,2866b5231d051e8f25d26a381ea73cb1,40fe960ae9f758e6,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,16,16,True,boxed,,3062,ccdfe6e87bfa217e447e0826fab4c6e2988d642fda313e72108df7ae5cfe14b2,e47f6f1755299f617c75f4a5ef622d6ca89a4402c5e35e6fb5be4abe43a5e66c,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime25_full_causal25_quality_v100/formal/FP16/seed44/p02.json,fb6bd58b54a50a200faf1019effcec693514d7747f06fd858ab17791a182f1d9,aime25_full_causal25_quality_v100_formal,fb8a77b673acfff3,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-20T08:21:31.388519+00:00,16,16,0,0,0,0,,,,,deepseek_r1_recommended,FP16:seed44:p02
aime25,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,FP16,FP16,fp16,7cffe089a9825640,3,42,0,3042,aime25:p3:s0,822a4c6ec6a41f65151cbc731d9d4ce2bb7bbd0f2f39bd7622be1b99d28e0d9d,4e23311d7dfa4b6070198c38eb9b1766,d1fa92f5cd63fe490269c257103e01f3,40fe960ae9f758e6,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,117,117,True,boxed,,7058,fbef451586e22bce4b2bc0211dd569e65fd01439fc9fc6a643f8b14df89b0321,fde6da4c532ead2fb6bf41e6f2f85025e457f7723aae7387a27ec7758fc2414e,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime25_full_causal25_quality_v100/formal/FP16/seed42/p03.json,ca477e393f134792d503e0da12da943c2696dc711c4b8f8605e223386d8304ac,aime25_full_causal25_quality_v100_formal,fb8a77b673acfff3,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-20T08:26:48.661535+00:00,16,16,0,0,0,0,,,,,deepseek_r1_recommended,FP16:seed42:p03
