branch	head_sha	short_sha	last_commit_date	subject	classification	relationship_to_main	relationship_to_system	relationship_to_generalization	scientific_purpose	still_active	contains_unique_commits_vs_system	recommended_action
bounded/main	c7324746d7447be532bd6bdbe0c8d58dd5e30c67	c732474	2026-08-04 19:55:52 +0800	document standard paper baseline methods	CORE	main_only=0;branch_only=0;merged_into_main=True	system_only=124;branch_only=0;merged_into_system=True	generalization_only=112;branch_only=0;merged_into_generalization=True	Public/reproduction project entry.	yes	no	KEEP
bounded/sys/causal-v4-25-kernel-v1	0ca6debff700f68ae8ff536e77ddb2cb1e68d69d	0ca6deb	2026-08-16 13:11:20 +0800	test: profile heterogeneous causal attention path	CORE	main_only=0;branch_only=124;merged_into_main=False	system_only=0;branch_only=0;merged_into_system=True	generalization_only=0;branch_only=12;merged_into_generalization=False	Active systems/runtime development branch.	yes	no	KEEP
bounded/exp/aime24-full-causal25-quality-4gpu	d59c349b7ef9d02a45ea12870d3e9e717e96ec8e	d59c349	2026-08-12 12:51:33 +0800	docs: freeze CAUSAL-V4@25 AIME24 v1	FROZEN_SCIENTIFIC	main_only=0;branch_only=69;merged_into_main=False	system_only=55;branch_only=0;merged_into_system=True	generalization_only=43;branch_only=0;merged_into_generalization=True	Historical experiment branch.	no	no	FREEZE
bounded/exp/causal-v4-25-generalization-v1	3dcedb42674140296c47cd56cf6ccbc1017474bc	3dcedb4	2026-08-14 17:08:46 +0800	Add CAUSAL V4 25 generalization results	FROZEN_SCIENTIFIC	main_only=0;branch_only=112;merged_into_main=False	system_only=12;branch_only=0;merged_into_system=True	generalization_only=0;branch_only=0;merged_into_generalization=True	Frozen CAUSAL-V4@25% quality/generalization evidence.	no	no	FREEZE
bounded/analysis/patternkv-vgate-layer-head-opportunity	995034340dc48c3068f141ca157a9f1c37c5b5df	9950343	2026-08-05 22:30:28 +0800	analysis: localize cross-hardware V gate false negatives	HISTORICAL_EXPERIMENT	main_only=0;branch_only=11;merged_into_main=False	system_only=115;branch_only=2;merged_into_system=False	generalization_only=103;branch_only=2;merged_into_generalization=False	Historical analysis branch.	no	yes	REVIEW_REQUIRED
bounded/exp/aime-int2-wave1-v100-8gpu	20caa33d93c470ae1382a63300de509197892c29	20caa33	2026-08-10 23:04:07 +0800	docs: report AIME24 full30 Sink validation	HISTORICAL_EXPERIMENT	main_only=0;branch_only=46;merged_into_main=False	system_only=80;branch_only=2;merged_into_system=False	generalization_only=68;branch_only=2;merged_into_generalization=False	Historical experiment branch.	no	yes	REVIEW_REQUIRED
bounded/exp/aime-pattern-hadamard-mechanism-3090	2d9928fcbd5dfd2dfecb5f2cf1b70a641983f3eb	2d9928f	2026-08-09 16:21:21 +0800	run: complete Hadamard accumulation diagnostic	HISTORICAL_EXPERIMENT	main_only=0;branch_only=53;merged_into_main=False	system_only=73;branch_only=2;merged_into_system=False	generalization_only=61;branch_only=2;merged_into_generalization=False	Historical experiment branch.	no	yes	REVIEW_REQUIRED
bounded/exp/aime-pattern-varn-mechanism-3090	2f63bddef151df0f32a40d51c73f125a8089800e	2f63bdd	2026-08-09 18:15:48 +0800	run: complete Pattern S16 VarN diagnostic	HISTORICAL_EXPERIMENT	main_only=0;branch_only=54;merged_into_main=False	system_only=72;branch_only=2;merged_into_system=False	generalization_only=60;branch_only=2;merged_into_generalization=False	Historical experiment branch.	no	yes	REVIEW_REQUIRED
bounded/exp/aime-pseudodecode-3090-8gpu	f7f6ca9954daa76cb702941f1b018ae294c0e378	f7f6ca9	2026-08-09 15:26:12 +0800	audit: isolate canonical VarN semantics	HISTORICAL_EXPERIMENT	main_only=0;branch_only=52;merged_into_main=False	system_only=72;branch_only=0;merged_into_system=True	generalization_only=60;branch_only=0;merged_into_generalization=True	Historical experiment branch.	no	no	ARCHIVE_CANDIDATE
bounded/exp/aime-qk-routing-vdirection-3090	0a644856f2a45569e489b91ae452253560484e23	0a64485	2026-08-09 19:03:25 +0800	run: complete routing-value propagation diagnostic	HISTORICAL_EXPERIMENT	main_only=0;branch_only=56;merged_into_main=False	system_only=68;branch_only=0;merged_into_system=True	generalization_only=56;branch_only=0;merged_into_generalization=True	Historical experiment branch.	no	no	ARCHIVE_CANDIDATE
