path	git_state	size_bytes	mtime	classification	scientific_value	should_version	reason	target_commit_group	action
.gitignore	tracked_modified	2228	2026-08-16 18:51:25	CONFIG	low	YES	Repository ignore hygiene for generated local noise.	config	stage_and_commit
bench/cudagraph_decode.py	untracked	6684	2026-08-16 14:59:51	BENCHMARK	high	YES	Benchmark harness for CUDA graph replay evidence.	benchmark	stage_and_commit
docs/BRANCH_MAP.md	tracked_modified	3054	2026-08-16 18:51:25	DOCUMENTATION	high	YES	Repository documentation for the frozen final state and paper assembly.	documentation	stage_and_commit
docs/PAPER_EVIDENCE_MAP.md	untracked	3733	2026-08-16 18:51:25	DOCUMENTATION	high	YES	Repository documentation for the frozen final state and paper assembly.	documentation	stage_and_commit
forensics/centroid_determinism/fixed_layer0_k.pt	untracked	1574079	2026-08-14 19:25:45	RAW_EXPERIMENT_ARTIFACT	high	YES	Raw forensic artifact preserved for provenance.	forensics	stage_and_commit
forensics/centroid_determinism/payload.json	untracked	99237	2026-08-14 19:25:53	RAW_EXPERIMENT_ARTIFACT	high	YES	Raw forensic artifact preserved for provenance.	forensics	stage_and_commit
forensics/step1_layer0_k_path/fixed_layer0_step1_norm_A.pt	untracked	9590	2026-08-14 20:41:23	RAW_EXPERIMENT_ARTIFACT	high	YES	Raw forensic artifact preserved for provenance.	forensics	stage_and_commit
reports/post_freeze_repository_consolidation_v1/branch_map_update.md	untracked	130	2026-08-16 18:49:48	DOCUMENTATION	high	YES	Repository documentation for the frozen final state and paper assembly.	documentation	stage_and_commit
reports/post_freeze_repository_consolidation_v1/deleted_remote_branches.md	untracked	559	2026-08-16 18:57:24	DOCUMENTATION	high	YES	Repository documentation for the frozen final state and paper assembly.	documentation	stage_and_commit
reports/post_freeze_repository_consolidation_v1/final_git_state.md	untracked	5560	2026-08-16 18:57:24	DOCUMENTATION	high	YES	Repository documentation for the frozen final state and paper assembly.	documentation	stage_and_commit
reports/post_freeze_repository_consolidation_v1/local_file_decisions.md	untracked	407	2026-08-16 18:57:24	DOCUMENTATION	high	YES	Repository documentation for the frozen final state and paper assembly.	documentation	stage_and_commit
reports/post_freeze_repository_consolidation_v1/local_file_inventory.tsv	untracked	70359	2026-08-16 18:57:24	DOCUMENTATION	high	YES	Repository documentation for the frozen final state and paper assembly.	documentation	stage_and_commit
reports/post_freeze_repository_consolidation_v1/paper_evidence_map_audit.md	untracked	126	2026-08-16 18:49:48	DOCUMENTATION	high	YES	Repository documentation for the frozen final state and paper assembly.	documentation	stage_and_commit
reports/post_freeze_repository_consolidation_v1/production_freeze_audit.md	untracked	265	2026-08-16 18:57:24	DOCUMENTATION	high	YES	Repository documentation for the frozen final state and paper assembly.	documentation	stage_and_commit
reports/post_freeze_repository_consolidation_v1/remote_branch_decisions.md	untracked	311	2026-08-16 18:57:24	DOCUMENTATION	high	YES	Repository documentation for the frozen final state and paper assembly.	documentation	stage_and_commit
reports/post_freeze_repository_consolidation_v1/remote_branch_inventory.tsv	untracked	2347	2026-08-16 18:57:24	DOCUMENTATION	high	YES	Repository documentation for the frozen final state and paper assembly.	documentation	stage_and_commit
reports/post_freeze_repository_consolidation_v1/remote_branch_recovery_manifest.tsv	untracked	3084	2026-08-16 18:52:35	DOCUMENTATION	high	YES	Repository documentation for the frozen final state and paper assembly.	documentation	stage_and_commit
reports/post_freeze_repository_consolidation_v1/retained_unique_branches.md	untracked	564	2026-08-16 18:57:24	DOCUMENTATION	high	YES	Repository documentation for the frozen final state and paper assembly.	documentation	stage_and_commit
reports/post_freeze_repository_consolidation_v1/summary.md	untracked	201	2026-08-16 18:57:24	DOCUMENTATION	high	YES	Repository documentation for the frozen final state and paper assembly.	documentation	stage_and_commit
reports/segmented_heterogeneous_attention_state_merge_v1/current_path_audit.md	untracked	148	2026-08-16 14:02:55	NEGATIVE_RESULT_EVIDENCE	high	YES	Negative state-merge evidence retained for paper limitations and provenance.	negative_evidence	stage_and_commit
reports/system_dynamic_add_remove_batching_v1/lifecycle_regression.txt	untracked	365	2026-08-15 12:07:08	FINAL_RESULT_EVIDENCE	high	YES	System serving or batching evidence supporting frozen claims.	system_evidence	stage_and_commit
reports/system_dynamic_add_remove_batching_v1/ragged_regression.txt	untracked	773	2026-08-15 12:07:08	FINAL_RESULT_EVIDENCE	high	YES	System serving or batching evidence supporting frozen claims.	system_evidence	stage_and_commit
reports/system_full_model_serving_benchmark_v1/bottleneck_profile/gpu_state_before_profile.txt	untracked	5080	2026-08-15 15:39:12	RAW_EXPERIMENT_ARTIFACT	high	YES	Raw benchmark/probe artifact retained as provenance for final serving evidence.	benchmark_artifacts	stage_and_commit
reports/system_full_model_serving_benchmark_v1/causal_attention_kernel_launch_forensic_v1/amdahl_bounds.json	untracked	858	2026-08-16 14:37:55	FINAL_RESULT_EVIDENCE	high	YES	Canonical final-system kernel launch forensic evidence.	final_release_evidence	stage_and_commit
reports/system_full_model_serving_benchmark_v1/causal_attention_kernel_launch_forensic_v1/amdahl_bounds.md	untracked	894	2026-08-16 14:37:55	FINAL_RESULT_EVIDENCE	high	YES	Canonical final-system kernel launch forensic evidence.	final_release_evidence	stage_and_commit
reports/system_full_model_serving_benchmark_v1/causal_attention_kernel_launch_forensic_v1/analysis_summary.json	untracked	2226	2026-08-16 14:37:55	FINAL_RESULT_EVIDENCE	high	YES	Canonical final-system kernel launch forensic evidence.	final_release_evidence	stage_and_commit
reports/system_full_model_serving_benchmark_v1/causal_attention_kernel_launch_forensic_v1/attention_component_timeline.md	untracked	2526	2026-08-16 14:37:55	FINAL_RESULT_EVIDENCE	high	YES	Canonical final-system kernel launch forensic evidence.	final_release_evidence	stage_and_commit
reports/system_full_model_serving_benchmark_v1/causal_attention_kernel_launch_forensic_v1/cache_append_decomposition.md	untracked	317	2026-08-16 14:37:55	FINAL_RESULT_EVIDENCE	high	YES	Canonical final-system kernel launch forensic evidence.	final_release_evidence	stage_and_commit
reports/system_full_model_serving_benchmark_v1/causal_attention_kernel_launch_forensic_v1/causal_v4_25_full_model_decode_trace.json	untracked	353207435	2026-08-16 14:22:57	PROFILER_TRACE	high	NO	Raw profiler trace is too large for Git; summarized evidence already exists.	local_only_artifact	leave_local_only
reports/system_full_model_serving_benchmark_v1/causal_attention_kernel_launch_forensic_v1/causal_v4_25_full_model_kernel_events.csv	untracked	48990038	2026-08-16 14:25:27	PROFILER_TRACE	high	NO	Raw profiler trace is too large for Git; summarized evidence already exists.	local_only_artifact	leave_local_only
