benchmark,model_name,model_identity_hash,method,display_method,backend_method,method_config_hash,problem_id,base_seed,sample_id,effective_seed,task_key,dataset_sha256,prompt_hash,input_token_hash,generation_config_hash,parser_hash,reference_answer,parsed_answer,is_correct,parser_strategy,parser_error,generated_tokens,generated_token_hash,generated_text_sha256,stop_reason,eos_stop,length_stop,truncated,oom,runtime_error,source_result_path,source_result_sha256,experiment_id,config_hash,git_commit,physical_gpu_id,gpu_uuid,timestamp,k_bits,v_bits,group_size,sink_length,recent_length,residual_length,selector,v4_budget_fraction,observed_v4_fraction,cache_mode,prompt_protocol,formal_key
aime24,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,KIVI_PAPER_G128,KIVI_PAPER_G128,kivi_paper_g128,a32ded9b2d918e25,0,42,0,42,aime24:p0:s0,07ec3f0c489406676be9d6057e2f97c9c32bc18e856d13df1d05c76724cbb08f,3c93e5e723afb8cc1dc05f4259b1aa1f,0fb852726c98e0ad8b7e62521a7917b1,116f62b577ab007c,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,204,204,True,boxed,,4108,d5903c1dbd9844aef6c084469c832200641e92b1c52f0f2a3a94af1909d82ad2,737df67de9b864b09f64a120b658ecec21c5d7df1282b9b4304b4e524f51a02e,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime24_kivi_paper_g128_quality_v100/formal/KIVI_PAPER_G128/seed42/p00.json,6bfe13458ced86818f68273447d9be31034d221095b7cc88ae68a106b2500f2c,aime25_full_causal25_quality_v100_formal,22689d6fd976440b,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-22T13:22:43.126981+00:00,2,2,128,0,128,128,,,,,deepseek_r1_recommended,KIVI_PAPER_G128:seed42:p00
aime24,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,KIVI_PAPER_G128,KIVI_PAPER_G128,kivi_paper_g128,a32ded9b2d918e25,0,43,0,43,aime24:p0:s0,07ec3f0c489406676be9d6057e2f97c9c32bc18e856d13df1d05c76724cbb08f,3c93e5e723afb8cc1dc05f4259b1aa1f,0fb852726c98e0ad8b7e62521a7917b1,116f62b577ab007c,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,204,204,True,boxed,,4226,146d5d82c959d1b11561bd7eb6ede2f9845b53c069cdd1450b97a84b879f65d5,10ff27d0088678679f18f06e6e7c812c6bbba949ac2d3b8df7ee26882b9b5ce2,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime24_kivi_paper_g128_quality_v100/formal/KIVI_PAPER_G128/seed43/p00.json,ae7cfe8be218a81fc3b93f27407aa01457d2a9b38d2285a35f0e89472694292e,aime25_full_causal25_quality_v100_formal,22689d6fd976440b,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-22T13:27:54.868499+00:00,2,2,128,0,128,128,,,,,deepseek_r1_recommended,KIVI_PAPER_G128:seed43:p00
aime24,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,KIVI_PAPER_G128,KIVI_PAPER_G128,kivi_paper_g128,a32ded9b2d918e25,0,44,0,44,aime24:p0:s0,07ec3f0c489406676be9d6057e2f97c9c32bc18e856d13df1d05c76724cbb08f,3c93e5e723afb8cc1dc05f4259b1aa1f,0fb852726c98e0ad8b7e62521a7917b1,116f62b577ab007c,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,204,680,False,boxed,,17021,8b34364092269e8b2086cf291e881dd05008f2d4c97f5c14e6de14ec926a4605,77831e5d4f08f0f22f90ec939c2bed577313982b666be7041492fa96e28a2ad3,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime24_kivi_paper_g128_quality_v100/formal/KIVI_PAPER_G128/seed44/p00.json,4d23343ee0407db338aa650aa9db6c672d33f120568548b79c9eedb73aa5707b,aime25_full_causal25_quality_v100_formal,22689d6fd976440b,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-22T13:47:43.722493+00:00,2,2,128,0,128,128,,,,,deepseek_r1_recommended,KIVI_PAPER_G128:seed44:p00
aime24,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,KIVI_PAPER_G128,KIVI_PAPER_G128,kivi_paper_g128,a32ded9b2d918e25,1,42,0,1042,aime24:p1:s0,07ec3f0c489406676be9d6057e2f97c9c32bc18e856d13df1d05c76724cbb08f,98eeef354d77150392b50cbeddad2f08,50403553c66f8e608a8bfa6af994ea11,116f62b577ab007c,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,113,16,False,boxed,,16902,7b782193a5a25bfe64a82ddbf5ab08058c2fed00602bec46467fd55c179d33a7,e8fa432acfa75046c04f02312b20b0e53ac8792bb63d5e9983baf7bb74aa097b,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime24_kivi_paper_g128_quality_v100/formal/KIVI_PAPER_G128/seed42/p01.json,5263e1b2f22654288edf485475b5ee26fc7a9a867b91c97573913b0d51dc57f3,aime25_full_causal25_quality_v100_formal,22689d6fd976440b,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-22T14:06:48.569995+00:00,2,2,128,0,128,128,,,,,deepseek_r1_recommended,KIVI_PAPER_G128:seed42:p01
aime24,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,KIVI_PAPER_G128,KIVI_PAPER_G128,kivi_paper_g128,a32ded9b2d918e25,1,43,0,1043,aime24:p1:s0,07ec3f0c489406676be9d6057e2f97c9c32bc18e856d13df1d05c76724cbb08f,98eeef354d77150392b50cbeddad2f08,50403553c66f8e608a8bfa6af994ea11,116f62b577ab007c,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,113,41,False,boxed,,21218,701079d0a8fc43a36fc5946fd4d5ad420d3930114acb5fe6af0aa8aca6889401,ef88eeba6571a585e838296e390059256a171b89b49069bb8bd08b39e3015429,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime24_kivi_paper_g128_quality_v100/formal/KIVI_PAPER_G128/seed43/p01.json,82f887df9a3ecf1d2566bb284a15fd8d2de1bd5e8da5a17dc3a30328a668d9b3,aime25_full_causal25_quality_v100_formal,22689d6fd976440b,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-22T14:30:59.232779+00:00,2,2,128,0,128,128,,,,,deepseek_r1_recommended,KIVI_PAPER_G128:seed43:p01
aime24,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,KIVI_PAPER_G128,KIVI_PAPER_G128,kivi_paper_g128,a32ded9b2d918e25,1,44,0,1044,aime24:p1:s0,07ec3f0c489406676be9d6057e2f97c9c32bc18e856d13df1d05c76724cbb08f,98eeef354d77150392b50cbeddad2f08,50403553c66f8e608a8bfa6af994ea11,116f62b577ab007c,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,113,369,False,boxed,,15691,56ef1180dac86f8ac5e7e989f6979c08ee480ca45c8525f7cb47d5b7cf4be8c0,29820a279d5176ae9bc582fa3396863e2a6acdb9b8f1c7d71c78885f46031b8a,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime24_kivi_paper_g128_quality_v100/formal/KIVI_PAPER_G128/seed44/p01.json,f6911c56eb71f50a3aa6b4aa348c3f3b481828dcac23db29a23beb68490d0fd3,aime25_full_causal25_quality_v100_formal,22689d6fd976440b,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-22T14:48:36.436102+00:00,2,2,128,0,128,128,,,,,deepseek_r1_recommended,KIVI_PAPER_G128:seed44:p01
aime24,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,KIVI_PAPER_G128,KIVI_PAPER_G128,kivi_paper_g128,a32ded9b2d918e25,2,42,0,2042,aime24:p2:s0,07ec3f0c489406676be9d6057e2f97c9c32bc18e856d13df1d05c76724cbb08f,aa0e970acc04f2eadcadfe676c7741cc,d1ab70b3127d433e68941b40b0b3d4c8,116f62b577ab007c,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,371,128,False,boxed,,10992,0ace545d3e882a8fa441a2a0bce72c8c0a86c2eb175ae0dd3303d6a07d8aaf8c,c0c1f1455e8ca6d2b0da95065b733a91ac7c892afe4d1d9ff99e2e382f9e3dae,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime24_kivi_paper_g128_quality_v100/formal/KIVI_PAPER_G128/seed42/p02.json,f81cc3c75dd7c4d570bd4d018262ca4023a2256fd894982eb7c4fa88aa1695fc,aime25_full_causal25_quality_v100_formal,22689d6fd976440b,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-22T15:01:00.685722+00:00,2,2,128,0,128,128,,,,,deepseek_r1_recommended,KIVI_PAPER_G128:seed42:p02
aime24,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,KIVI_PAPER_G128,KIVI_PAPER_G128,kivi_paper_g128,a32ded9b2d918e25,2,43,0,2043,aime24:p2:s0,07ec3f0c489406676be9d6057e2f97c9c32bc18e856d13df1d05c76724cbb08f,aa0e970acc04f2eadcadfe676c7741cc,d1ab70b3127d433e68941b40b0b3d4c8,116f62b577ab007c,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,371,163,False,boxed,,11057,699e8c06aad3bed086a6fdd82486b98d9783738a96c7e97e7a8b06d22b41602b,5d9bc1b240738eeadf882cae53e7a204eb371bfb9c3c15ceacf8322956d30bf2,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime24_kivi_paper_g128_quality_v100/formal/KIVI_PAPER_G128/seed43/p02.json,4c136d98ec9375b74ed2355d7af7217624356e18fd3f5f780487c7e221932ef3,aime25_full_causal25_quality_v100_formal,22689d6fd976440b,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-22T15:15:52.256091+00:00,2,2,128,0,128,128,,,,,deepseek_r1_recommended,KIVI_PAPER_G128:seed43:p02
aime24,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,KIVI_PAPER_G128,KIVI_PAPER_G128,kivi_paper_g128,a32ded9b2d918e25,2,44,0,2044,aime24:p2:s0,07ec3f0c489406676be9d6057e2f97c9c32bc18e856d13df1d05c76724cbb08f,aa0e970acc04f2eadcadfe676c7741cc,d1ab70b3127d433e68941b40b0b3d4c8,116f62b577ab007c,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,371,3,False,boxed,,14777,a16842e2533f77714aac4704cea1a48555ae9b9314f7aed77c15fb8349e9e0b0,3f1ae8ee49995e24caac0fd5a4c22629d739a15ce3c2c2eeb7e46be089f75cbe,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime24_kivi_paper_g128_quality_v100/formal/KIVI_PAPER_G128/seed44/p02.json,4c48716e90f10a5bd56d4a877c1a8e79d3bbe8ae89e757940a4f56dc71fe3548,aime25_full_causal25_quality_v100_formal,22689d6fd976440b,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-22T15:32:15.350339+00:00,2,2,128,0,128,128,,,,,deepseek_r1_recommended,KIVI_PAPER_G128:seed44:p02
aime24,DeepSeek-R1-Distill-Llama-8B,6af5ef5a437b77f7fb395930f430a9a266efaa5ead3804aa92c8359e141f6185,KIVI_PAPER_G128,KIVI_PAPER_G128,kivi_paper_g128,a32ded9b2d918e25,3,42,0,3042,aime24:p3:s0,07ec3f0c489406676be9d6057e2f97c9c32bc18e856d13df1d05c76724cbb08f,cd5065be0856b8600932c057ea35100e,613d3fb5f41f27cbff6e99c651f7ce53,116f62b577ab007c,bench/aime_answer_parser.py:a7ab4395529caaa2cfcd9cb5203a2dd00723ac90fcd96d12bea77494b416b234,385,8,False,boxed,,10238,3d43f520bf4e5335dfb7d8415ec12847f9a832e119650d3b78130e3b8611bd92,2443fb9b696382d0f54ba3e12a3e15e14614b51df3dfce27fb99a0c659587acb,eos,True,False,False,False,False,/home/qinch2023/v100_aime24_aime25_quality_work/Bounded-pattrenKV-method/results/aime24_kivi_paper_g128_quality_v100/formal/KIVI_PAPER_G128/seed42/p03.json,9f5738c751b41bce374ced6c6850aac990dabd00c59f351ee238fa328f0e3c10,aime25_full_causal25_quality_v100_formal,22689d6fd976440b,fe834cd7e99a06f2aec37bfb6c74173ad7fee7c9,0,Tesla V100-SXM2-32GB,2026-08-22T15:43:09.239856+00:00,2,2,128,0,128,128,,,,,deepseek_r1_recommended,KIVI_PAPER_G128:seed42:p03
